sid,case,feature,align,win_start,win_end,win_center_ms,win_center_stim_aligned_ms,peak_time_ms,peak_time_stim_aligned_ms,win_len_ms,reaction_time_ms
20200402,case_i,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,210.09999999965655,0.0,225.09999999965657,50.0,225.09999999965657
20200402,case_i,S,sacc,-60.00000000000003,39.99999999999998,-10.000000000000025,215.09999999965655,0.0,225.09999999965657,100.0,225.09999999965657
20200402,case_ii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,230.09999999965655,0.0,225.09999999965657,50.0,225.09999999965657
20200402,case_ii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,250.09999999965655,30.00000026077032,255.1000002604269,50.0,225.09999999965657
20200402,case_iii,C,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,230.09999999965655,10.000000009313226,235.1000000089698,50.0,225.09999999965657
20200402,case_iii,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,230.09999999965655,20.000000251457095,245.10000025111367,50.0,225.09999999965657
20200402,case_iv,C,stim,219.99999999999997,269.99999999999994,244.99999999999994,244.99999999999994,240.00000208616257,240.00000208616257,49.99999999999997,225.09999999965657
20200402,case_iv,S,sacc,-60.00000000000003,39.99999999999998,-10.000000000000025,215.09999999965655,0.0,225.09999999965657,100.0,225.09999999965657
20200402,case_v,C,stim,259.99999999999994,309.99999999999994,284.99999999999994,284.99999999999994,289.99999165534973,289.99999165534973,50.0,225.09999999965657
20200402,case_v,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,250.09999999965655,30.00000026077032,255.1000002604269,50.0,225.09999999965657
20200402,case_vi,C,stim,279.99999999999994,329.99999999999994,304.99999999999994,304.99999999999994,299.99999701976776,299.99999701976776,50.0,225.09999999965657
20200402,case_vi,S,sacc,-60.00000000000003,39.99999999999998,-10.000000000000025,215.09999999965655,0.0,225.09999999965657,100.0,225.09999999965657
20200926,case_i,C,sacc,-60.00000000000003,-10.000000000000023,-35.00000000000003,193.60000000014222,-20.000000251457095,208.59999974868515,50.00000000000001,228.60000000014224
20200926,case_i,S,sacc,-20.00000000000002,29.999999999999982,4.9999999999999805,233.60000000014222,-10.000000009313226,218.59999999082902,50.0,228.60000000014224
20200926,case_ii,C,sacc,-40.00000000000002,9.99999999999998,-15.000000000000021,213.60000000014222,0.0,228.60000000014224,50.0,228.60000000014224
20200926,case_ii,S,sacc,-2.0816681711721685e-14,49.99999999999998,24.99999999999998,253.60000000014222,49.999999813735485,278.59999981387773,50.0,228.60000000014224
